vehicle,year,fuel_type,engine_volume,vehicle_type,kpp_type,mileage,need_repair,prediction,true_value
Mitsubishi Galant,1997,бензин,1.8,седан,автомат,-999.0,0,1267606.0,1750000
ГАЗ ГАЗель,2019,газ-бензин,2.7,пикап,механика,-999.0,0,6182265.5,8500000
ВАЗ (Lada) Vesta,2018,бензин,1.8,универсал,автомат,136480.0,0,6298440.0,4950000
Honda Accord,2007,бензин,2.4,седан,автомат,222000.0,0,4734548.0,5100000
Honda CR-V,2008,бензин,2.4,кроссовер,автомат,220.0,0,6792383.5,5800000
Mazda Tribute,2001,бензин,3.0,кроссовер,автомат,200000.0,0,4007765.0,3500000
Nissan Sunny,1991,бензин,2.0,седан,автомат,-999.0,0,833621.7,980000
Chevrolet Niva,2005,бензин,1.7,внедорожник,механика,-999.0,0,1713699.2,1300000
Toyota Land Cruiser,2018,бензин,2.7,внедорожник,автомат,24000.0,0,21601220.0,22500000
ВАЗ (Lada) 2107,2008,бензин,1.6,седан,механика,-999.0,0,1291830.0,900000
Daewoo Nexia,2013,бензин,1.5,седан,механика,202152.0,0,1567756.8,1350000
Toyota Land Cruiser,1996,дизель,3.0,внедорожник,автомат,-999.0,0,4996790.5,6000000
Toyota 4Runner,1993,бензин,3.0,внедорожник,автомат,250000.0,0,2969110.2,3500000
Nissan Primera,1997,бензин,2.0,седан,автомат,-999.0,0,1865161.2,2300000
Toyota Land Cruiser,2006,бензин,2.7,внедорожник,автомат,185000.0,0,9569365.0,10550000
Lexus RX 300,2003,бензин,3.0,кроссовер,автомат,-999.0,0,5504048.5,4850000
Mazda 626,1993,дизель,2.0,универсал,механика,396000.0,0,1212881.8,950000
ВАЗ (Lada) Granta,2013,бензин,1.6,седан,механика,150000.0,0,2075177.4,1800000
Mercedes-Benz E 200,2018,бензин,2.0,седан,автомат,33000.0,0,18609928.0,20000000
Nissan R'nessa,1997,бензин,2.0,универсал,автомат,-999.0,0,2380971.8,2650000
Hyundai Accent,2012,бензин,1.6,хэтчбек,автомат,100000.0,0,4079654.5,4700000
ВАЗ (Lada) 2106,1990,бензин,1.6,седан,механика,300000.0,0,662917.2,450000
Mercedes-Benz C 180,1996,бензин,1.8,универсал,механика,-999.0,0,2170289.2,1550000
Kia Rio,2014,бензин,1.4,седан,механика,-999.0,0,4179902.2,3550000
Daewoo Nexia,2003,бензин,1.5,седан,механика,-999.0,0,729370.4,1200000
Toyota Alphard,2003,бензин,3.0,минивэн,автомат,-999.0,0,4110006.8,4000000
Land Rover Range,2013,бензин,5.0,внедорожник,автомат,160.0,0,22238000.0,25000000
Nissan Patrol,2005,бензин,4.8,внедорожник,автомат,-999.0,0,8733695.0,9500000
Volkswagen Caddy,2005,дизель,1.9,минивэн,механика,-999.0,0,3333399.5,2500000
BMW 520,1991,бензин,2.0,седан,механика,-999.0,0,1176413.6,1200000
Kia Rio,2014,бензин,1.6,седан,автомат,-999.0,0,4902537.0,5200000
Kia Rio,2015,бензин,1.6,седан,механика,180000.0,0,4127544.0,4590000
ВАЗ (Lada) Largus,2019,бензин,1.6,универсал,механика,73081.0,0,5377852.5,5590000
ВАЗ (Lada) 2114,2013,бензин,1.6,хэтчбек,механика,-999.0,0,1671261.4,2300000
